DATE,PCE
1/1/1929,9.314
1/1/1930,8.92
1/1/1931,7.965
1/1/1932,7.024
1/1/1933,6.774
1/1/1934,7.081
1/1/1935,7.256
1/1/1936,7.323
1/1/1937,7.59
1/1/1938,7.417
1/1/1939,7.345
1/1/1940,7.407
1/1/1941,7.868
1/1/1942,8.847
1/1/1943,9.661
1/1/1944,10.216
1/1/1945,10.625
1/1/1946,11.364
1/1/1947,12.517
1/1/1948,13.225
1/1/1949,13.122
1/1/1950,13.278
1/1/1951,14.182
1/1/1952,14.473
1/1/1953,14.663
1/1/1954,14.787
1/1/1955,14.845
1/1/1956,15.14
1/1/1957,15.6
1/1/1958,15.969
1/1/1959,16.207
1/1/1960,16.473
1/1/1961,16.644
1/1/1962,16.839
1/1/1963,17.04
1/1/1964,17.287
1/1/1965,17.536
1/1/1966,17.979
1/1/1967,18.431
1/1/1968,19.152
1/1/1969,20.015
1/1/1970,20.951
1/1/1971,21.841
1/1/1972,22.586
1/1/1973,23.802
1/1/1974,26.28
1/1/1975,28.47
1/1/1976,30.032
1/1/1977,31.986
1/1/1978,34.211
1/1/1979,37.251
1/1/1980,41.262
1/1/1981,44.958
1/1/1982,47.456
1/1/1983,49.474
1/1/1984,51.343
1/1/1985,53.134
1/1/1986,54.29
1/1/1987,55.964
1/1/1988,58.151
1/1/1989,60.69
1/1/1990,63.355
1/1/1991,65.473
1/1/1992,67.218
1/1/1993,68.892
1/1/1994,70.33
1/1/1995,71.811
1/1/1996,73.346
1/1/1997,74.623
1/1/1998,75.216
1/1/1999,76.338
1/1/2000,78.235
1/1/2001,79.738
1/1/2002,80.789
1/1/2003,82.358
1/1/2004,84.411
1/1/2005,86.812
1/1/2006,89.174
1/1/2007,91.438
1/1/2008,94.18
1/1/2009,94.094
1/1/2010,95.705
1/1/2011,98.131
1/1/2012,100
1/1/2013,101.346
1/1/2014,102.83
1/1/2015,103.043
1/1/2016,104.121
1/1/2017,105.984
1/1/2018,108.239
1/1/2019,109.851
